;;1;;2;;3;;4;;5;;6;;7;;8;;9;;10
A00;Anderssen’s Opening;a3;;;;;;;;;;;;;;;;;;
A00;Anderssen’s Opening: Polish Gambit:;a3;a5;;;;;;;;;;;;;;;;;
A00;Formation: Hippopotamus Atack:;a3;e5;b3;d5;c3;Nf6;d3;Nc6;e3;Bd6;f3;O-O;g3;;;;;;
A00;Formation: Shy Attack;a3;e5;g3;d5;Bg2;Nf6;d3;Nc6;Nd2;Bd6;e3;O-O;h3;;;;;;
A00;Van Geet Opening: Reversed Nimzowitch, Battambang Variation:;a3;e5;Nc3;;;;;;;;;;;;;;;;
A00;Ware Opening:;a4;;;;;;;;;;;;;;;;;;
A00;Ware Opening: Symmetric Variation:;a4;a5;;;;;;;;;;;;;;;;;
A00;Ware Opening: Wing Gambit:;a4;b5;axb5;Bb7;;;;;;;;;;;;;;;
A00;Ware Opening: Cologne Gambit:;a4;b6;d4;d5;Nc3;Nd7;;;;;;;;;;;;;
A00;Ware Opening: Crab Variation:;a4;e5;h4;;;;;;;;;;;;;;;;
A00;Ware Opening: Meadow Hay Trap:;a4;e5;Ra3;;;;;;;;;;;;;;;;
A00;Polish Opening:;b4;;;;;;;;;;;;;;;;;;
A00;Polish Opening: Symmetrical Variation:;b4;b5;;;;;;;;;;;;;;;;;
A00;Polish Opening: Birmingham Gambit:;b4;c5;;;;;;;;;;;;;;;;;
A00;Polish Opening: Outflank Veriation:;b4;c6;;;;;;;;;;;;;;;;;
A00;Polish Opening: Outflank, Schuehler Gambit:;b4;c6;Bb2;a5;b5;cxb5;e4;;;;;;;;;;;;
A00;Polish Opening: Baltic Defense:;b4;d5;Bb2;Bf5;;;;;;;;;;;;;;;
A00;Polish Opening: Myers Variation:;b4;d5;Bb2;c6;a4;;;;;;;;;;;;;;
A00;Polish Opening: German Defense:;b4;d5;Bb2;Qd6;;;;;;;;;;;;;;;
A00;Polish Opening: Bugayev Attack:;b4;e5;a3;;;;;;;;;;;;;;;;
A00;Polish Opening: Wolferts Gambit:;b4;e5;Bb2;c5;;;;;;;;;;;;;;;
A00;Polish Opening: Czech Defense:;b4;e5;Bb2;d6;;;;;;;;;;;;;;;
A00;Bugayev Advance Variation:;b4;e5;Bb2;f6;b5;;;;;;;;;;;;;;
A00;Polish Opening: Tartakower Gambit:;b4;e5;Bb2;f6;e4;;;;;;;;;;;;;;
A00;Polish Opening: Queenside Defense:;b4;e6;Bb2;Nf6;b5;a6;;;;;;;;;;;;;
A00;Polish Opening: Queenside Defense, Rooks Exchange Line:;b4;e6;Bb2;Nf3;b5;a6;a4;axb5;axb5;Rxa1;Bxa1;;;;;;;;
A00;Polish Opening: Queen’s Indian Variation:;b4;e6;Bb2;Nf3;b5;b6;;;;;;;;;;;;;
A00;Polish Opening: Schiffler-Sokolsky Variation:;b4;e6;Bb2;Nf6;b5;d5;e3;;;;;;;;;;;;
A00;Polish Opening: Dutch Defense:;b4;f5;;;;;;;;;;;;;;;;;
A00;Polish Opening: Grigorian Variatoin:;b4;Nc6;;;;;;;;;;;;;;;;;
A00;Polish Opening: King’s Indian Variation:;b4;Nf6;Bb2;g6;;;;;;;;;;;;;;;
A00;Polish Opening: King’s Indian Variation, Sokolsky Attack:;b4;Nf6;Bb2;g6;c4;Bg7;e3;d6;Nf3;O-O;d4;;;;;;;;
A00;Polish Opening: King’s Indian Variation, Schiffler Attack:;b4;Nf6;Bb2;g6;e4;;;;;;;;;;;;;;
A00;Polish Opening: Karniewski Variation:;b4;Nh6;;;;;;;;;;;;;;;;;
A00;Saragossa Opening;c3;;;;;;;;;;;;;;;;;;
A00;Mieses Opening;d3;;;;;;;;;;;;;;;;;;
A00;Mieses Opening: Venzoalana Variation;d3;c5;Nc3;Nc6;g3;;;;;;;;;;;;;;
A00;Mieses Opening: Reversed Rat;d3;e5;;;;;;;;;;;;;;;;;
A00;Mieses Opening: Reversed Rat, Valencia Variation:;d3;e5;Nd2;;;;;;;;;;;;;;;;
A00;Mieses Opening: Myers Spike Attack:;d3;e6;Nd4;;;;;;;;;;;;;;;;
A00;Van’t Kruijs Opening;e3;;;;;;;;;;;;;;;;;;
A00;Van’t Kruijs Opening: Bouncing Bishop Variation:;e3;e5;Bc4;b5;Bb3;;;;;;;;;;;;;;
A00;Van’t Kruijs Opening: Amsterdam Attack:;e3;e5;c4;d6;Nc3;b3;Nf6;;;;;;;;;;;;
A00;Van’t Kruijs Opening: Keoni-Hiva Gambit, Ekolu Variation:;e3;e5;Nc3;d5;f4;exf4;Nf3;;;;;;;;;;;;
A00;Van’t Kruijs Opening: Keoni-Hiva Gambit, Alua Variation:;e3;e5;Nc3;Nc6;f4;exf4;Nf3;;;;;;;;;;;;
